market_id,supplier_id,supplier_name,technology_or_mechanism,supplier_location,start_year,start_value,end_year,end_value,value_unit,delta_value,positive_delta_value,annual_change_fraction,replacement_rate_fraction,net_annual_trend_fraction,net_annual_change,marginal_share,included_in_marginal_set,provider_or_proxy_label,source_reference,notes
MM_ELEC_CA_2025,elec_hydro,Hydro / Wave / Tidal,Hydro / Wave / Tidal,Canada,2025,403350.84,2030,437850.35,GWh,34499.51,34499.51,,,,,0.40086986510363115,Yes,Canada electricity marginal mix technology bin,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Imports were not projected to grow over the defined 2025–2030 window and were not included.
MM_ELEC_CA_2025,elec_wind,Wind,Wind,Canada,2025,57101.81,2030,80824.64,GWh,23722.83,23722.83,,,,,0.275649354497394,Yes,Canada electricity marginal mix technology bin,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Imports were not projected to grow over the defined 2025–2030 window and were not included.
MM_ELEC_CA_2025,elec_biomass_geothermal,Biomass / Geothermal,Biomass / Geothermal,Canada,2025,7838.55,2030,9204.8,GWh,1366.25,1366.25,,,,,0.01587525310353209,Yes,Canada electricity marginal mix technology bin,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Imports were not projected to grow over the defined 2025–2030 window and were not included.
MM_ELEC_CA_2025,elec_solar,Solar,Solar,Canada,2025,12140.31,2030,13504.24,GWh,1363.93,1363.93,,,,,0.015848295674657308,Yes,Canada electricity marginal mix technology bin,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Imports were not projected to grow over the defined 2025–2030 window and were not included.
MM_ELEC_CA_2025,elec_uranium,Uranium,Uranium,Canada,2025,78631.37,2030,82253.63,GWh,3622.26,3622.26,,,,,0.042089144963806294,Yes,Canada electricity marginal mix technology bin,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Imports were not projected to grow over the defined 2025–2030 window and were not included.
MM_ELEC_CA_2025,elec_natural_gas,Natural Gas,Natural Gas,Canada,2025,106529.07,2030,128015.91,GWh,21486.84,21486.84,,,,,0.2496680866569791,Yes,Canada electricity marginal mix technology bin,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Imports were not projected to grow over the defined 2025–2030 window and were not included.
MM_ELEC_CA_2025,elec_coal_coke,Coal & Coke,Coal & Coke,Canada,2025,8132.43,2030,654.81,GWh,-7477.62,0,,,,,0.0,No,Canada electricity marginal mix technology bin,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Excluded because ΔV is negative.
MM_ELEC_CA_2025,elec_oil,Oil,Oil,Canada,2025,1379.91,2030,683.79,GWh,-696.12,0,,,,,0.0,No,Canada electricity marginal mix technology bin,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Excluded because ΔV is negative.
MM_AL_BILLET_CA_2025,alma,Rio Tinto - Alma Smelter,"Hall-Héroult: ELYSIS & inert anode tech (piloting), AP44 technology",Quebec,2018,465,2023,484,kt primary aluminium output,19,3.8,,,,,0.15447154471544713,Yes,primary aluminium / billet-equivalent foreground avoided-production provider,https://aluminium.ca/en/the-industry/; https://www.riotinto.com/en/news/releases/2023/rio-tinto-to-expand-its-ap60-low-carbon-aluminium-smelter-in-quebec; https://www.riotinto.com/en/news/releases/2021/elysis-selects-alma-smelter-for-commercial-size-450-ka-inert-anode-prototype-cells,"Products noted in source workbook: foundry alloys, rods, sows and remelt T ingots. Contemporary base case excludes imports as immaterial; inert-anode/ELYSIS-type routes treated only in prospective overlay."
MM_AL_BILLET_CA_2025,alouette,Aluminerie Alouette - Alouette Smelter,Hall-Héroult: Prebake technology,Quebec,2018,584,2023,634,kt primary aluminium output,50,10,,,,,0.4065040650406504,Yes,primary aluminium / billet-equivalent foreground avoided-production provider,https://aluminium.ca/en/the-industry/; https://www.riotinto.com/en/news/releases/2023/rio-tinto-to-expand-its-ap60-low-carbon-aluminium-smelter-in-quebec,Products noted in source workbook: ingots.
MM_AL_BILLET_CA_2025,deschambault,Alcoa - Deschambault Smelter,Hall-Héroult: Prebake technology,Quebec,2018,260,2023,287,kt primary aluminium output,27,5.4,,,,,0.21951219512195122,Yes,primary aluminium / billet-equivalent foreground avoided-production provider,https://aluminium.ca/en/the-industry/; https://www.riotinto.com/en/news/releases/2023/rio-tinto-to-expand-its-ap60-low-carbon-aluminium-smelter-in-quebec,Products noted in source workbook: t-shaped ingots.
MM_AL_BILLET_CA_2025,grande_baie,Rio Tinto - Grande Baie Smelter,Hall-Héroult: Prebake technology,Quebec,2018,233,2023,229,kt primary aluminium output,-4,0,,,,,0.0,No,primary aluminium / billet-equivalent foreground avoided-production provider,https://aluminium.ca/en/the-industry/; https://www.riotinto.com/en/news/releases/2023/rio-tinto-to-expand-its-ap60-low-carbon-aluminium-smelter-in-quebec,Excluded because ΔV is negative.
MM_AL_BILLET_CA_2025,becancour,Alcoa - Becancour Smelter,Hall-Héroult: Prebake technology,Quebec,2018,438,2023,465,kt primary aluminium output,27,5.4,,,,,0.21951219512195122,Yes,primary aluminium / billet-equivalent foreground avoided-production provider,https://aluminium.ca/en/the-industry/; https://www.riotinto.com/en/news/releases/2023/rio-tinto-to-expand-its-ap60-low-carbon-aluminium-smelter-in-quebec,"Products noted in source workbook: T-ingots, plates, billets."
MM_AL_BILLET_CA_2025,kitimat,Rio Tinto - Kitimat Smelter,Hall-Héroult: AP40,British Columbia,2018,436,2023,377,kt primary aluminium output,-59,0,,,,,0.0,No,primary aluminium / billet-equivalent foreground avoided-production provider,https://aluminium.ca/en/the-industry/; https://www.riotinto.com/en/news/releases/2023/rio-tinto-to-expand-its-ap60-low-carbon-aluminium-smelter-in-quebec,Excluded because ΔV is negative.
